id,target,classification,ai_verdict,human_verdict,verdict_match,confidence,time_spent_seconds,reviewer,classification_support,rubric_grounding,logical_consistency,evidence_use,notes,completed_at
59848,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,43,daisy,strong,strong,strong,strong,,2026-04-29T13:49:11.233091
59849,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,195,daisy,strong,strong,strong,strong,,2026-04-29T13:52:29.814684
59852,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,31,daisy,strong,strong,strong,strong,,2026-04-29T13:53:04.627541
59855,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,42,daisy,strong,strong,strong,strong,,2026-04-29T13:53:49.538126
59863,Not Toxic,Toxic,Well-Aligned,Well-Aligned,1,4,586,daisy,strong,strong,strong,strong,,2026-04-29T14:03:37.470559
239575,Not Toxic,Toxic,Well-Aligned,Well-Aligned,1,5,31,daisy,strong,strong,strong,strong,,2026-04-29T14:04:13.111131
239576,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,51,daisy,strong,strong,strong,strong,,2026-04-29T14:05:07.488115
239578,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,134,daisy,strong,strong,strong,strong,,2026-04-29T14:07:24.389988
239582,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,53,daisy,strong,strong,strong,strong,,2026-04-29T14:08:21.145403
239585,Not Toxic,Toxic,Well-Aligned,Well-Aligned,1,5,1152,daisy,strong,strong,strong,strong,,2026-04-29T14:27:35.973742
239589,Not Toxic,Not Toxic,Well-Aligned,Partially Aligned,0,4,767,daisy,adequate,adequate,adequate,strong,,2026-04-29T14:40:25.642339
239590,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,59,daisy,strong,strong,strong,strong,,2026-04-29T14:41:27.886988
239591,Not Toxic,Not Toxic,Well-Aligned,Partially Aligned,0,3,173,daisy,weak,weak,adequate,adequate,,2026-04-29T14:44:22.689121
239593,Not Toxic,Not Toxic,Misaligned,Misaligned,1,2,212,daisy,weak,weak,weak,weak,,2026-04-29T14:47:58.359033
239594,Not Toxic,Not Toxic,Well-Aligned,Misaligned,0,2,215,daisy,weak,weak,weak,weak,,2026-04-29T14:51:38.265547
239596,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,176,daisy,strong,strong,strong,strong,,2026-04-29T14:54:41.295665
239597,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,4,516,daisy,strong,strong,strong,strong,,2026-04-29T15:03:22.683941
239598,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,165,daisy,strong,strong,strong,strong,,2026-04-29T15:06:11.131307
239600,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,201,daisy,strong,strong,strong,strong,,2026-04-29T15:09:36.073379
239602,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,50,daisy,strong,strong,strong,strong,,2026-04-29T15:10:27.236000
239603,Not Toxic,Not Toxic,Well-Aligned,Well-Aligned,1,5,95,daisy,strong,strong,strong,strong,,2026-04-29T15:12:06.193029
239604,Not Toxic,Not Toxic,Partially Aligned,Partially Aligned,1,2,351,daisy,weak,weak,weak,weak,"llm is not evaluating the toxicity, got distracted",2026-04-29T15:18:02.464470
239626,Not Toxic,Not Toxic,Misaligned,Misaligned,1,1,166,daisy,weak,weak,weak,weak,"llm failed to evaluate, got distracted.",2026-04-29T15:20:50.828423
239660,Not Toxic,Not Toxic,Partially Aligned,Misaligned,0,2,200,daisy,weak,weak,weak,weak,llm faild to evalute the toxicity,2026-04-29T15:24:13.425792
239666,Not Toxic,Not Toxic,Misaligned,Misaligned,1,1,132,daisy,weak,weak,weak,weak,llm failed to justify the toxicity,2026-04-29T15:26:27.491542
241026,Toxic,Not Toxic,Partially Aligned,Misaligned,0,1,165,daisy,weak,weak,weak,weak,llm failed to justify,2026-04-29T15:34:00.161299
245354,Toxic,Not Toxic,Misaligned,Misaligned,1,1,95,daisy,weak,weak,weak,weak,failed to justify,2026-04-29T15:35:48.148066
245384,Toxic,Toxic,Partially Aligned,Misaligned,0,1,77,daisy,weak,weak,weak,weak,,2026-04-29T15:37:09.700957
247545,Toxic,Toxic,Misaligned,Misaligned,1,1,185,daisy,weak,weak,weak,weak,classified as toxic but reasoning is leaning to non-toxic,2026-04-29T15:40:17.603667
253860,Toxic,Toxic,Misaligned,Misaligned,1,1,172,daisy,weak,weak,weak,weak,,2026-04-29T15:43:15.299571
270276,Toxic,Toxic,Misaligned,Misaligned,1,1,59,daisy,weak,weak,weak,weak,failed to justify,2026-04-29T15:44:16.545179
5248841,Toxic,Not Toxic,Misaligned,Misaligned,1,1,182,daisy,weak,weak,weak,adequate,reasoning inconsistent,2026-04-29T15:47:21.944195
5606322,Toxic,Toxic,Misaligned,Misaligned,1,1,79,daisy,weak,weak,weak,weak,failed to justify,2026-04-29T15:48:43.158323
600072,Toxic,Toxic,Misaligned,Misaligned,1,1,153,daisy,weak,weak,weak,weak,"failed to justify, got distracted",2026-04-29T15:51:18.322977
